id,bmonth,byear,att00,att01,att02,att03,att04,att05,att06,att07,att08
416,7,1980,1,2,1,1,1,1,1,1,1
417,5,1983,2,2,2,2,2,1,1,1,1
418,5,1983,2,3,3,N,N,N,N,N,N
419,2,1984,2,2,1,2,1,2,1,1,1
420,3,1980,1,1,1,1,1,1,1,1,1
421,8,1982,3,4,3,2,2,2,5,4,1
422,1,1981,1,1,1,1,1,1,1,2,1
423,1,1984,5,2,3,3,2,2,2,1,1
424,6,1984,2,2,2,2,2,2,2,1,1
425,8,1982,1,1,1,1,1,1,1,1,1
426,12,1980,2,5,1,1,D,2,1,1,2
427,11,1981,N,N,1,1,N,N,N,N,N
428,11,1984,6,N,6,6,2,6,N,6,N
429,1,1981,1,1,1,1,1,2,2,1,1
430,3,1983,1,1,1,2,1,2,1,1,1
431,10,1984,2,6,6,2,1,1,1,1,N
432,2,1981,3,3,3,N,N,N,3,1,6
433,9,1984,6,6,N,6,N,N,N,3,6
434,4,1982,3,3,3,2,3,2,3,N,1
435,6,1981,N,N,N,N,N,N,6,4,4
436,2,1982,N,N,N,N,N,N,6,6,4
437,7,1981,7,7,7,8,7,7,7,7,7
438,3,1983,7,6,3,3,1,1,1,1,1
439,5,1984,7,8,8,7,7,7,7,7,6
440,8,1980,7,6,1,6,4,3,7,1,1
441,1,1982,8,7,7,6,R,2,5,R,2
442,3,1981,3,3,2,N,N,N,N,N,6
443,6,1980,1,2,6,5,2,2,N,2,4
444,2,1982,2,2,2,3,1,2,N,3,2
445,1,1981,N,N,2,1,R,1,1,R,6
446,2,1983,2,3,2,1,5,1,1,1,4
447,9,1983,2,1,1,2,1,D,R,2,D
448,9,1983,3,1,1,3,1,R,2,R,2
449,9,1984,6,6,N,N,N,N,N,N,N
450,11,1980,3,2,1,1,1,5,6,2,2
451,9,1983,6,3,1,1,4,4,6,4,5
452,3,1981,N,N,N,1,1,3,1,1,1
453,7,1982,N,N,N,1,6,7,6,5,1
454,8,1982,5,2,2,2,2,2,2,2,2
455,8,1984,1,7,6,6,6,7,6,6,6
456,11,1983,6,6,6,4,7,6,5,4,3
457,5,1980,3,1,2,2,D,2,5,2,1
458,6,1982,3,4,2,3,2,3,2,2,2
459,6,1983,6,6,3,6,6,4,3,3,3
460,12,1981,1,3,2,4,3,5,4,2,1
461,3,1983,3,2,2,1,2,4,2,5,1
462,2,1981,3,3,2,3,1,2,3,2,1
463,7,1982,4,1,2,4,2,6,2,4,6
464,11,1981,2,2,1,3,4,2,3,R,1
465,10,1984,1,1,1,6,6,6,6,1,1
466,12,1983,3,6,6,8,6,N,6,6,6
467,9,1984,1,1,1,2,1,2,5,3,2
468,11,1981,1,3,6,6,2,1,1,4,D
469,1,1982,2,6,6,4,5,5,4,2,4
470,2,1981,4,5,3,4,1,4,1,1,2
471,7,1980,1,1,1,1,1,1,1,1,1
472,1,1983,2,2,3,1,1,1,1,1,5
473,3,1982,7,7,N,7,7,7,7,7,7
474,7,1984,2,6,3,6,2,5,2,2,5
475,3,1981,7,7,7,7,7,7,7,7,7
476,7,1982,3,2,2,2,2,1,1,3,5
477,5,1982,3,3,3,5,5,5,5,4,2
478,1,1983,3,3,3,3,3,5,3,3,3
479,8,1982,3,3,3,3,1,2,2,6,6
480,7,1980,2,2,2,2,2,1,1,1,1
481,5,1984,2,1,1,3,2,1,1,1,1
482,7,1983,6,7,6,6,6,6,D,6,6
483,2,1980,3,2,2,1,1,2,2,2,2
484,8,1982,5,5,4,2,2,4,5,2,1
485,7,1982,6,6,4,7,5,2,2,2,2
486,6,1980,6,6,6,7,6,N,6,6,6
487,3,1984,6,7,3,2,2,1,2,D,1
488,1,1982,5,1,1,1,1,1,1,1,1
489,11,1982,7,7,7,7,7,7,N,N,7
490,11,1982,3,2,2,2,2,2,2,2,2
491,9,1984,6,5,N,N,N,N,N,N,N
492,10,1983,6,7,6,7,6,6,6,6,7
493,9,1981,N,N,N,N,N,N,N,N,N
494,3,1983,2,N,N,N,N,N,N,N,N
495,12,1984,3,N,N,N,N,N,N,N,N
496,7,1984,6,6,4,7,7,6,6,6,6
497,4,1981,6,7,6,5,N,N,4,N,N
498,5,1980,5,5,2,4,2,1,2,2,1
499,8,1982,N,N,N,N,N,N,N,N,N
500,3,1982,N,N,N,N,N,N,N,N,N
501,9,1982,N,N,N,N,N,N,N,N,N
502,9,1983,2,N,N,N,N,N,N,N,N
503,12,1981,2,5,2,1,1,1,1,2,1
504,7,1984,2,N,N,N,N,N,1,N,N
505,8,1984,1,1,1,N,N,N,1,N,1
506,9,1982,1,3,N,N,N,N,N,N,N
507,8,1984,6,6,6,6,6,6,6,6,6
508,8,1981,2,3,5,3,5,5,3,4,3
509,8,1984,3,2,1,5,1,1,1,2,2
510,5,1980,6,4,2,6,2,6,2,3,2
511,1,1980,1,4,2,4,3,2,6,6,6
512,3,1981,6,5,2,4,7,4,N,6,2
513,5,1982,2,2,6,6,1,5,2,1,2
514,2,1981,N,N,N,N,N,N,4,2,2
515,3,1983,3,2,2,1,1,2,3,3,2
516,3,V,2,2,2,2,3,N,1,6,6
517,9,1981,1,1,1,2,2,2,1,4,5
518,11,1983,1,2,6,5,2,2,2,2,1
519,6,1980,2,2,1,1,1,1,2,5,6
520,10,1981,1,1,2,1,1,1,1,1,R
521,7,1983,2,2,4,3,2,1,2,2,2
522,1,1983,2,2,2,2,1,N,1,1,1
523,5,1980,2,4,2,3,1,1,1,4,1
524,8,1981,2,3,1,1,4,2,2,2,1
525,4,1982,1,2,2,1,1,2,2,2,2
526,11,1983,2,3,2,1,2,2,2,2,N
527,12,1981,1,1,1,1,1,1,1,1,1
528,9,1982,3,3,3,2,2,2,2,1,1
529,4,1982,2,2,2,1,1,1,1,1,2
530,9,1982,6,7,7,8,7,3,2,2,2
531,4,1980,N,N,3,N,6,N,N,N,N
532,1,1983,N,N,N,N,N,N,N,N,N
533,1,1983,6,4,3,2,2,2,2,2,2
534,11,1981,3,2,2,N,3,3,4,3,N
535,5,1980,2,2,4,N,2,2,6,6,3
536,12,1982,3,6,5,6,4,6,4,4,1
537,2,1982,1,1,1,1,1,1,1,1,1
538,8,1983,6,3,3,2,1,6,5,3,2
539,6,1980,1,1,1,1,N,N,N,N,N
540,2,1982,1,1,2,1,R,2,1,1,N
541,2,1982,R,R,1,N,N,N,1,N,N
542,2,1984,5,5,3,2,4,3,3,3,3
543,10,1983,2,3,2,2,3,3,2,3,3
544,2,1981,2,3,2,2,1,2,2,1,1
545,8,1981,3,1,2,1,2,2,1,1,1
546,6,1980,6,6,3,5,5,4,4,2,6
547,1,1984,6,6,5,4,5,5,5,4,5
548,11,1984,7,7,7,7,7,7,7,7,7
549,12,1981,1,2,2,1,2,2,1,2,1
550,2,1984,3,3,2,1,2,2,1,1,1
551,12,1981,7,7,7,7,6,7,6,7,7
552,11,1981,N,N,N,N,1,N,N,N,N
