id,bmonth,byear,att00,att01,att02,att03,att04,att05,att06,att07,att08
964,10,1982,2,1,2,1,2,2,2,1,1
966,11,1984,2,2,1,1,1,1,1,1,1
967,5,1982,5,6,5,3,4,6,6,6,6
970,2,1983,1,1,1,1,1,1,1,1,1
971,1,1983,2,2,2,2,2,2,2,2,2
972,5,1982,4,3,3,3,4,3,3,3,2
974,11,1982,1,1,1,1,1,1,1,1,1
976,11,1981,1,3,1,2,6,6,6,6,6
977,6,1982,1,1,1,1,1,1,1,1,1
978,8,1980,6,6,6,6,6,6,6,6,6
979,7,1982,5,4,3,2,2,2,2,2,2
980,10,1982,3,2,3,2,1,2,3,5,1
983,10,1984,1,2,1,2,2,1,1,1,2
986,8,1980,1,1,1,1,1,1,1,1,1
988,5,1983,6,7,6,7,6,6,3,1,2
989,6,1983,7,7,7,7,7,6,6,6,6
992,2,1983,1,2,1,2,2,5,2,5,1
995,5,1980,6,6,2,2,2,2,1,2,2
997,6,1980,3,3,3,2,2,3,1,1,2
998,12,1982,2,1,2,1,1,2,2,2,2
999,12,1982,3,2,3,1,1,2,1,1,2
